"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13707118","","","","0"
"2016","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13875394","","","","0"
"2017","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","14070141","","","","0"
"2018","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","14308697","","","","0"
"1990","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1105421","","","","0"
"1991","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1109604","","","","0"
"1992","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1112689","","","","0"
"1993","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1117618","","","","0"
"1994","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1123230","","","","0"
"1995","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1129150","","","","0"
"1996","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1134196","","","","0"
"1997","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1136128","","","","0"
"1998","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1137489","","","","0"
"1999","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1142448","","","","0"
"2000","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1147313","","","","0"
"2001","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1151454","","","","0"
"2002","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1156680","","","","0"
"2003","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1163596","","","","0"
"2004","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1173238","","","","0"
"2005","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1178264","","","","0"
"2006","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1183562","","","","0"
"2007","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1189451","","","","0"
"2008","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1197775","","","","0"
"2009","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1208556","","","","0"
"2010","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1220780","","","","0"
"2011","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1233649","","","","0"
"2012","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1249975","","","","0"
"2013","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1264620","","","","0"
"2014","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1279014","","","","0"
"2015","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1292227","","","","0"
"2016","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1314139","","","","0"
"2017","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1334790","","","","0"
"2018","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1352825","","","","0"
"1990","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1007727","","","","0"
"1991","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1002713","","","","0"
"1992","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1003995","","","","0"
"1993","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1006900","","","","0"
"1994","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1009575","","","","0"
"1995","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1014187","","","","0"
